Report ID,Reporting Period,Branch Code,Branch Name,Supervisor ID,Supervisor Name,Car Plate Nr,Car Description,Car_Type,Bill Nr,Bill Date,Penalty,Final_Bill
7686,January 2021 to March 2021,876734,Walsall,102,1,DS4049,BA1234,SUV,166651,18.01.2021,50,1050
7686,January 2021 to March 2021,876734,Walsall,102,1,DL3434,BA6753,Sports Car,123111,19.02.2021,0,500
7686,January 2021 to March 2021,876734,Walsall,102,1,OP9817,BA1561,SUV,561909,06.03.2021,0,480
7686,January 2021 to March 2021,876734,Walsall,102,1,SJ7182,BA9878,Hatchback,565690,29.01.2021,0,680
1056,October 2021 to December 2021,100023,Coventry,871,2,BN9745,BA9123,SUV,128976,10.10.2021,0,710
1056,October 2021 to December 2021,100023,Coventry,871,2,LA5142,BA8177,Sedan,511899,25.11.2021,20,1500
1056,October 2021 to December 2021,100023,Coventry,871,2,CB0098,BA4545,Sports Car,141421,03.12.2021,0,850
1056,October 2021 to December 2021,100023,Coventry,871,2,ZX7222,BA1000,Coupe,514879,29.10.2021,0,1250
1056,October 2021 to December 2021,100023,Coventry,871,2,QW0128,BA8882,Sedan,771100,16.11.2021,20,300
4981,January 2022 to March 2022,456109,Leamington Spa,149,3,PO8123,BA5656,SUV,675912,06.01.2022,50,350
4981,January 2022 to March 2022,456109,Leamington Spa,149,3,IU7878,BA0012,Hatchback,991762,08.02.2022,0,950
7002,July 2021 to September 2021,981256,Warwick,823,4,GF5612,BA3421,Sedan,110054,19.07.2021,100,1400
7002,July 2021 to September 2021,981256,Warwick,823,4,NM8787,BA4545,Sports Car,378123,12.08.2021,20,450
7002,July 2021 to September 2021,981256,Warwick,823,4,VC1111,BA8177,Sedan,808051,18.09.2021,0,670
7002,July 2021 to September 2021,981256,Warwick,823,4,FG7100,BA9123,Hatchback,100023,21.07.2021,0,1030
7002,July 2021 to September 2021,981256,Warwick,823,4,RE6000,BA9878,Sedan,611554,27.08.2021,50,520
3121,April 2021 to June 2021,555901,Wolverhampton,111,5,TR6199,BA1561,SUV,888712,10.04.2021,0,490
3121,April 2021 to June 2021,555901,Wolverhampton,111,5,DR1166,BA6753,Sports Car,343412,28.05.2021,20,1230
3121,April 2021 to June 2021,555901,Wolverhampton,111,5,BP9111,BA1234,Coupe,222678,04.06.2021,0,1680
